corp_code,corp_name,ticker,market,is_listed,bizr_no,jurir_no,corp_cls,extracted_at
00100258,에스마크,030270,,False,3038103040,1511110001366,E,2026-03-14
00100601,강원에너지,114190,KOSDAQ,True,1248146960,1101110191398,K,2026-03-14
00100717,아이이,023430,,False,2148104910,1101110370439,E,2026-03-14
00100939,강남제비스코,000860,KOSPI,True,6058103330,1801110003391,Y,2026-03-14
00100957,건영,012720,,False,1148100481,1101110221202,E,2026-03-14
00101044,에이프로젠바이오로직스,003060,KOSPI,True,2188100518,1101110036396,Y,2026-03-14
00101220,KG케미칼,001390,KOSPI,True,1308109693,1243110008999,Y,2026-03-14
00101257,경남기업,000800,,False,1168105522,1101110008262,E,2026-03-14
00101275,경남모직,001670,,False,6088107505,1901110004107,E,2026-03-14
00101336,경남에너지,008020,,False,6098111676,1901110001509,E,2026-03-14
00101433,경농,002100,KOSPI,True,2148108779,1101110089395,Y,2026-03-14
00101442,카라반케이디이,032570,,False,2128118913,1101110533657,E,2026-03-14
00101488,경동나비엔,009450,KOSPI,True,1258101234,1347110001159,Y,2026-03-14
00101549,경동제약,011040,KOSDAQ,True,1248135518,1201110003765,K,2026-03-14
00101628,경방,000050,KOSPI,True,1078105232,1101110013287,Y,2026-03-14
00101637,그로웰전자,009220,,False,2048125164,1101110151821,E,2026-03-14
00101664,경보제약,214390,KOSPI,True,3128104567,1648110001961,Y,2026-03-14
00101752,케이씨피드,025880,KOSDAQ,True,5058100799,1747110000187,K,2026-03-14
00101947,브이오산업,018890,,False,1348103745,1301110011328,E,2026-03-14
00101992,센추리,006750,,False,1308100222,1243110000953,E,2026-03-14
00102113,경인양행,012610,KOSPI,True,1378100562,1201110005703,Y,2026-03-14
00102140,경인전자,009140,KOSPI,True,1198102373,1101110150229,Y,2026-03-14
00102353,경창산업,024910,KOSDAQ,True,5038104241,1701110007733,K,2026-03-14
00102432,계룡건설산업,013580,KOSPI,True,3148107954,1601110003121,Y,2026-03-14
00102618,계양전기,012200,KOSPI,True,1048134422,1101110212889,Y,2026-03-14
00102645,글로스텍,012410,,False,1228107883,1201110005290,E,2026-03-14
00102681,고려개발,004200,,False,1068144682,1101110052037,E,2026-03-14
00102751,고려산업,002140,KOSPI,True,6048100024,1801110001494,Y,2026-03-14
00102760,두산건설,011160,,False,1028131754,1101110194277,E,2026-03-14
00102821,고려시멘트,003660,,False,4098101637,2059110000078,E,2026-03-14
00102858,고려아연,010130,KOSPI,True,2118111260,1101110168404,Y,2026-03-14
00103006,고려제강,002240,KOSPI,True,6178100049,1801110001220,Y,2026-03-14
00103015,고려제약,014570,KOSDAQ,True,1268104796,1344110001840,K,2026-03-14
00103042,케이씨티시,009070,KOSPI,True,2018110323,1101110149446,Y,2026-03-14
00103121,세븐코스프,017160,,False,1398101572,1201110018996,E,2026-03-14
00103130,플레이그램,009810,KOSPI,True,1068130984,1101110286412,Y,2026-03-14
00103176,흥국화재,000540,KOSPI,True,1028107837,1101110016728,Y,2026-03-14
00103325,고제,002540,,False,2168100429,1101110036990,E,2026-03-14
00103510,인지컨트롤스,023800,KOSPI,True,1338122303,1301110006296,Y,2026-03-14
00103547,우진비앤지,018620,KOSDAQ,True,1248114283,1243110014409,K,2026-03-14
00103583,광덕물산,003590,,False,2028137757,1101110044729,E,2026-03-14
00103592,광동제약,009290,KOSPI,True,1138108888,1101110152134,Y,2026-03-14
00103626,한솔피엔에스,010420,,False,1208159861,1101110175970,E,2026-03-14
00103635,광림,014200,,False,3018108302,1201110009268,E,2026-03-14
00103644,비츠로테크,042370,KOSDAQ,True,1348108395,1101110086169,K,2026-03-14
00103662,광명전기,017040,KOSPI,True,1348104007,1301110006270,Y,2026-03-14
00104102,우리종합금융,010050,,False,4088100426,2001110000954,E,2026-03-14
00104120,광진실업,026910,KOSDAQ,True,6038108305,1801110025882,K,2026-03-14
00104388,국도화학,007690,KOSPI,True,1198104497,1101110126642,Y,2026-03-14
00104467,국민은행,031150,,False,1018168693,1101110545553,E,2026-03-14
00104519,국보,001140,,False,1048124870,1101110296073,E,2026-03-14
00104537,국영지앤엠,006050,KOSDAQ,True,2078141843,1101110103707,K,2026-03-14
00104573,국일제지,078130,KOSDAQ,True,1358101449,1345110001377,K,2026-03-14
00104698,LS네트웍스,000680,KOSPI,True,6228104805,1801110044717,Y,2026-03-14
00104704,한국저축은행,025610,,False,2018113602,1101110338693,E,2026-03-14
00104722,국제약품,002720,KOSPI,True,2078100309,1101110032154,Y,2026-03-14
00104768,가온전선,000500,KOSPI,True,1238100049,1341110000567,Y,2026-03-14
00104786,미래아이앤지,007120,KOSPI,True,1148110728,1101110100951,Y,2026-03-14
00104810,소노스퀘어,007720,KOSDAQ,True,6048115788,1801110068668,K,2026-03-14
00104856,삼성증권,016360,KOSPI,True,2028148588,1101110335649,Y,2026-03-14
00104892,알이네트웍스,023670,,False,1228117794,1201110045759,E,2026-03-14
00104971,그린손해보험,000470,,False,1048104122,1101110007082,E,2026-03-14
00104999,윌비스,008600,KOSPI,True,1208114772,1101110172447,Y,2026-03-14
00105040,뉴인텍,012340,KOSDAQ,True,1308102119,1243110003006,K,2026-03-14
00105101,INVENI,015360,KOSPI,True,2188106851,1101110290778,Y,2026-03-14
00105138,파라텍,033540,KOSDAQ,True,1308100241,1243110000573,K,2026-03-14
00105156,극동유화,014530,KOSPI,True,6218100510,1845110001335,Y,2026-03-14
00105165,극동전선,006250,,False,3018111393,1152110000609,E,2026-03-14
00105183,극동제혁,010200,,False,1348107381,1152110002548,E,2026-03-14
00105244,알보젠코리아,002250,,False,2158121950,1101110033673,E,2026-03-14
00105271,케이씨씨,002380,KOSPI,True,2148170045,1101110221814,Y,2026-03-14
00105280,현대지에프홀딩스,005440,KOSPI,True,2118108241,1101110095201,Y,2026-03-14
00105299,금강공업,014280,KOSPI,True,6038115882,1801110034320,Y,2026-03-14
00105466,KCC건설,021320,KOSDAQ,True,2148169965,1101110607618,K,2026-03-14
00105475,금강철강,053260,KOSDAQ,True,2028109038,1101110207799,K,2026-03-14
00105509,금강화섬,010730,,False,2018146802,1101110183006,E,2026-03-14
00105606,금호에이치티,214330,KOSPI,True,4098107801,2059110000169,Y,2026-03-14
00105767,LG마이크론,016990,,False,5138101770,1753110001075,E,2026-03-14
00105855,엘에스일렉트릭,010120,KOSPI,True,1168119273,1101110520076,Y,2026-03-14
00105873,LG디스플레이,034220,KOSPI,True,1208155297,1101110393134,Y,2026-03-14
00105952,LS,006260,KOSPI,True,1168119007,1101110003965,Y,2026-03-14
00105961,LG이노텍,011070,KOSPI,True,1058174316,1101110192180,Y,2026-03-14
00106119,금양,001570,KOSPI,True,6068104711,1801110003101,Y,2026-03-14
00106313,금호건설,002990,KOSPI,True,1048131309,1101110134877,Y,2026-03-14
00106368,금호석유화학,011780,KOSPI,True,1028131147,1101110205975,Y,2026-03-14
00106395,금호전기,001210,KOSPI,True,1058100527,1101110028541,Y,2026-03-14
00106456,지앤엘,014590,,False,2078141902,1101110353659,E,2026-03-14
00106483,기라정보통신,019930,,False,1248124331,1201110040494,E,2026-03-14
00106492,렉스엘이앤지,004790,,False,1198102368,1101110071756,E,2026-03-14
00106508,기린,006070,,False,6188100019,1801110061935,E,2026-03-14
00106614,기신정기,092440,KOSPI,True,1398116717,1201110046476,Y,2026-03-14
00106623,현대위아,011210,KOSPI,True,6098101770,1942110000125,Y,2026-03-14
00106641,기아,000270,KOSPI,True,1198102316,1101110037998,Y,2026-03-14
00106650,카스코,005330,,False,6098106829,1942110002593,E,2026-03-14
00106669,세아베스틸지주,001430,KOSPI,True,1138106798,1101110035794,Y,2026-03-14
00106881,인디에프,014990,KOSPI,True,1208117274,1101110279996,Y,2026-03-14
00107066,남광토건,001260,KOSPI,True,1208101995,1101110017411,Y,2026-03-14
00107224,남선알미늄,008350,KOSPI,True,5028100107,1701110005042,Y,2026-03-14
00107303,피엔에스커튼월,033220,,False,6098106187,1942110001438,E,2026-03-14
00107358,일공공일안경콘택트,032030,,False,6228106249,1801110057182,E,2026-03-14
00107446,남양,003020,,False,6018107843,1801110006569,E,2026-03-14
00107598,남양유업,003920,KOSPI,True,2028104367,1101110092976,Y,2026-03-14
00107613,이수페타시스,007660,KOSPI,True,5148116131,1101110186638,Y,2026-03-14
00107677,비비안,002070,KOSPI,True,1078111092,1101110030934,Y,2026-03-14
00107923,남한제지,001950,,False,2088118156,1101110027303,E,2026-03-14
00107987,남해화학,025860,KOSPI,True,2018145104,1101110164717,Y,2026-03-14
00108001,남화토건,091590,KOSDAQ,True,4088108184,2001110002843,K,2026-03-14
00108038,엔피씨,004250,KOSPI,True,1348126904,1101110212699,Y,2026-03-14
00108047,세원화성,007910,,False,3068103262,1601110004179,E,2026-03-14
00108065,에코바이브,015540,,False,1188103215,1101110302565,E,2026-03-14
00108135,녹십자홀딩스,005250,KOSPI,True,1358105009,1345110000014,Y,2026-03-14
00108241,농심,004370,KOSPI,True,1188103914,1101110057574,Y,2026-03-14
00108490,엔피케이,048830,KOSDAQ,True,2118138347,1101110522311,K,2026-03-14
00108612,DS단석,017860,KOSPI,True,1338122642,1341110010839,Y,2026-03-14
00108649,TPC,048770,KOSDAQ,True,1098114912,1101110245575,K,2026-03-14
00108746,DKME,015590,KOSPI,True,6108102779,1812110002275,Y,2026-03-14
00108913,대교,019680,KOSPI,True,1128141114,1101110514029,Y,2026-03-14
00108940,대성홀딩스,016710,KOSPI,True,5038106405,1701110017237,Y,2026-03-14
00108977,대구백화점,006370,KOSPI,True,5018100026,1701110003814,Y,2026-03-14
00109019,아이엠뱅크,005270,,False,5028107740,1701110000141,E,2026-03-14
00109037,대성창투,027830,KOSDAQ,True,5038114448,1701110031881,K,2026-03-14
00109161,태경케미컬,006890,KOSPI,True,2208110227,1101110040793,Y,2026-03-14
00109170,대덕GDS,004130,,False,1348103503,1301110007640,E,2026-03-14
00109189,대덕,008060,KOSPI,True,1348106363,1301110007608,Y,2026-03-14
00109268,대동스틸,048470,KOSDAQ,True,1168135991,1101110150691,K,2026-03-14
00109286,대동,000490,KOSPI,True,5148106690,1911110000104,Y,2026-03-14
00109310,대동기어,008830,KOSDAQ,True,6198103305,1911110000758,K,2026-03-14
00109453,케이조선,067250,,False,1208168604,1801110002814,E,2026-03-14
00109514,티웨이홀딩스,004870,KOSPI,True,2078100110,1101110073413,Y,2026-03-14
00109587,대륙제관,004780,KOSDAQ,True,2208104875,1101110073877,K,2026-03-14
00109648,오라바이오틱스,016160,,False,1198103858,1101110322381,E,2026-03-14
00109693,DL,000210,KOSPI,True,1168135007,1101110084915,Y,2026-03-14
00109718,사조대림,003960,KOSPI,True,1148134190,1101110042278,Y,2026-03-14
00109754,대림바스,005750,KOSPI,True,6098100261,1942110000018,Y,2026-03-14
00109781,대림제지,017650,KOSDAQ,True,1248132409,1348110003020,K,2026-03-14
00109806,삼일씨엔에스,004440,KOSPI,True,1028137869,1101110061228,Y,2026-03-14
00109824,대림통상,006570,KOSPI,True,1028101153,1101110021678,Y,2026-03-14
00110051,에스케이머티리얼즈,036490,,False,5128101234,1901110006971,E,2026-03-14
00110060,대백저축은행,026970,,False,5018100711,1701110004044,E,2026-03-14
00110079,대백쇼핑,027700,,False,5068104065,1746110004876,E,2026-03-14
00110176,한국기술산업,008320,,False,1348104123,1301110006949,E,2026-03-14
00110307,대선조선,031990,,False,6018107936,1801110001361,E,2026-03-14
00110431,JW신약,067290,KOSDAQ,True,3128102332,1615110001291,K,2026-03-14
00110495,대성합동지주,005620,,False,1018100205,1101110090780,E,2026-03-14
00110547,링세오코리아,003050,,False,1278100963,1115110000798,E,2026-03-14
00110583,DH오토웨어,025440,KOSDAQ,True,1198102446,1101110254344,K,2026-03-14
00110608,DSR,155660,KOSPI,True,6178100224,1801110000777,Y,2026-03-14
00110750,플루토스,019570,KOSDAQ,True,1168116053,1101110511588,K,2026-03-14
00110875,대신정보통신,020180,KOSDAQ,True,4088118945,1101110542484,K,2026-03-14
00110884,엠젠솔루션,032790,KOSDAQ,True,5138100034,1753110000126,K,2026-03-14
00110893,대신증권,003540,KOSPI,True,1168109076,1101110042955,Y,2026-03-14
00110963,대아건설,000380,,False,3078109556,1601110001844,E,2026-03-14
00110981,대아리드선,009940,,False,2158103229,1101110165757,E,2026-03-14
00111014,애큐온저축은행,007640,,False,2118138105,1101110126014,E,2026-03-14
00111111,대양금속,009190,KOSPI,True,1348132459,1201110002212,Y,2026-03-14
00111193,대양전기공업,108380,KOSDAQ,True,6038109788,1801110081389,K,2026-03-14
00111218,KD,044180,KOSDAQ,True,1398104128,1201110012914,K,2026-03-14
00111227,대양제지공업,006580,,False,1238100184,1341110000400,E,2026-03-14
00111421,휴니드테크놀러지스,005870,KOSPI,True,1238106174,1341110005202,Y,2026-03-14
00111458,대영포장,014160,KOSPI,True,1348101183,1101110254104,Y,2026-03-14
00111591,인터피온반도체,014010,,False,1278102976,1115110001788,E,2026-03-14
00111689,아진전자부품,009320,KOSPI,True,1238100262,1341110000822,Y,2026-03-14
